"","National","Labour","Green","NZ First","Conservative","Māori","ACT","United Future","MANA","TOTAL"
"Auckland Central",10040,9393,1537,NA,206,NA,142,NA,NA,21681
"Bay of Plenty",20013,5884,NA,4180,1211,NA,NA,112,NA,33044
"Botany",19107,6583,NA,NA,2784,NA,NA,NA,NA,29626
"Christchurch Central",13463,11295,2214,1095,515,84,111,NA,NA,29055
"Christchurch East",10034,13700,2700,NA,1142,153,NA,139,NA,28598
"Clutha-Southland",19686,6103,1935,NA,1316,NA,431,NA,NA,30861
"Coromandel",20165,3858,5382,2929,1037,151,140,NA,NA,34336
"Dunedin North",9182,14580,5008,NA,549,NA,NA,NA,NA,30419
"Dunedin South",13242,16943,2482,NA,669,NA,138,NA,NA,34628
"East Coast",16745,9250,2363,2271,713,NA,NA,NA,NA,31934
"East Coast Bays",17907,3418,2708,NA,4556,NA,NA,NA,NA,29075
"Epsom",9398,2749,2219,514,1539,NA,13921,NA,75,30788
"Hamilton East",17460,8157,1993,1149,886,NA,116,59,NA,30322
"Hamilton West",15903,10442,NA,2054,800,235,112,NA,NA,29999
"Helensville",19756,3734,3570,NA,826,NA,265,NA,NA,29827
"Hunua",21339,5521,NA,2636,1269,205,359,NA,NA,31724
"Hutt South",14671,15049,2693,912,776,NA,161,96,NA,34699
"Ilam",17852,7023,3492,NA,1053,205,359,NA,NA,30640
"Invercargill",16256,9334,2179,2349,683,NA,NA,NA,NA,31490
"Kaikōura",19135,7625,2604,1747,1004,NA,123,NA,NA,33285
"Kelston",8520,12832,1647,1107,553,NA,207,69,NA,25714
"Mana",10578,17363,2574,NA,886,NA,NA,NA,NA,32163
"Māngere",3537,16130,1006,NA,1264,NA,NA,NA,445,22848
"Manukau East",3923,15241,556,1668,425,NA,NA,NA,205,22583
"Manurewa",6790,12003,925,1786,495,199,NA,NA,205,22830
"Maungakiekie",13936,11808,1618,NA,565,NA,NA,92,355,28927
"Mt Albert",8775,17933,2350,NA,456,NA,261,NA,219,30407
"Mt Roskill",9363,16209,1303,607,960,NA,NA,NA,232,29034
"Napier",10308,14041,1081,NA,7135,NA,NA,NA,NA,32905
"Nelson",18376,11276,2950,NA,1029,NA,167,NA,NA,34460
"New Lynn",10684,14400,2120,NA,1102,NA,NA,NA,NA,28896
"New Plymouth",19958,10782,1750,NA,573,NA,181,NA,NA,34241
"North Shore",20993,6362,3078,NA,2014,NA,492,NA,NA,33378
"Northcote",17604,8827,2485,NA,839,NA,332,139,NA,30720
"Northland",16827,8042,3094,NA,1465,NA,185,NA,NA,31870
"Ōhāriu",5227,11349,2266,NA,925,NA,177,12279,NA,32705
"Ōtaki",19352,12018,2095,NA,857,NA,NA,NA,NA,34989
"Pakuranga",18534,6629,NA,NA,3216,NA,1822,NA,NA,30888
"Palmerston North",13275,15164,NA,1074,627,NA,NA,NA,NA,30566
"Papakura",14001,9150,1507,3047,1169,207,357,NA,143,30011
"Port Hills",14480,16345,2534,1023,544,NA,122,NA,NA,35341
"Rangitata",21883,8731,NA,NA,1478,NA,429,NA,NA,33605
"Rangitīkei",18753,8521,NA,2138,1378,NA,159,NA,NA,31261
"Rimutaka",11502,17333,1437,1601,886,NA,NA,NA,NA,33067
"Rodney",22461,3811,2956,3660,2015,NA,206,NA,NA,35324
"Rongotai",8095,16395,6353,706,515,NA,NA,77,181,32787
"Rotorua",17180,10079,NA,2239,545,NA,120,NA,NA,30441
"Selwyn",22182,3384,3517,1664,590,112,67,NA,NA,31674
"Tāmaki",22657,4436,3085,NA,543,NA,420,NA,239,31782
"Taranaki-King Country",20438,5041,2681,NA,1291,NA,NA,NA,NA,30209
"Taupō",20514,6731,1637,2131,827,315,NA,133,NA,32607
"Tauranga",18967,5290,1821,5441,965,167,132,80,NA,33420
"Te Atatū",11569,13829,1337,NA,866,NA,348,NA,NA,28831
"Tukituki",16887,11087,1827,NA,1775,NA,143,NA,NA,32457
"Upper Harbour",16132,7395,2102,NA,1625,186,445,NA,158,28355
"Waikato",20769,5965,NA,3014,1285,NA,265,NA,NA,31809
"Waimakariri",15684,13551,1270,935,724,73,NA,NA,NA,32461
"Wairarapa",14913,8685,1295,8006,771,163,79,NA,NA,34150
"Waitaki",22414,7239,4278,NA,1312,NA,NA,NA,NA,35911
"Wellington Central",9557,16102,3670,471,252,NA,NA,NA,NA,30829
"West Coast-Tasman",11717,15405,2024,NA,954,NA,NA,NA,NA,32824
"Whanganui",17384,13089,NA,NA,815,546,197,NA,NA,32554
"Whangarei",18747,6368,2734,2741,917,254,264,NA,NA,33689
"Wigram",9927,13015,1874,NA,761,98,266,NA,NA,26577
"Hauraki-Waikato",NA,10510,NA,NA,NA,3813,NA,NA,2620,17557
"Ikaroa-Rāwhiti",NA,8644,1825,NA,NA,3314,NA,NA,4356,18818
"Tāmaki Makaurau",NA,6497,2566,NA,NA,5262,NA,NA,2092,17007
"Te Tai Hauāuru",NA,7092,2520,NA,NA,5639,NA,NA,1584,17288
"Te Tai Tokerau",NA,8442,NA,NA,NA,2171,NA,NA,7323,18658
"Te Tai Tonga",NA,7280,2585,NA,NA,4099,NA,NA,1607,17001
"Waiariki",NA,4965,NA,NA,NA,7973,NA,NA,4482,18062
